scraproduct_name,product_price,product_rating
‘RBBFOOD’ Kerepek Ubi Perisa Kari (Curry Flavoured Tapioca Chips – 300 Gram +/-),4.50,0
‘RBBFOOD’ Kerepek Ubi Perisa Keju (Cheese Flavoured Tapioca Chips – 300gm ),4.50,0
‘RBBFOOD’ Kerepek Ubi Sambal (Spicy And Dry Tapioca Chips – 350gm +/- ),5.00,0
‘RBBFOOD’ Kerepek Ubi Sambal (Spicy And Moist Tapioca Chips – 350gm ),5.00,0
‘The Legend’ Sengkuang Calit (Spicy Sauce),6.00,0
‘The Legend’ Sengkuang Calit (Spicy Sauce),4.00,0
MEAT/CHICKEN FLOSS (SERUNDING KAKNGAH - 1KG) By Legasi ABR Delima Enterprise,21.60,0
MEAT/CHICKEN FLOSS (SERUNDING KAKNGAH - 1KG) By Legasi ABR Delima Enterprise,21.60,0
MEAT/CHICKEN FLOSS (SERUNDING KAKNGAH – 1KG) By Legasi ABR Delima Enterprise,21.60,0
MEAT/CHICKEN FLOSS (SERUNDING KAKNGAH - 500G) By Legasi ABR Delima Enterprise,10.80,0
MEAT/CHICKEN FLOSS (SERUNDING KAKNGAH - 500G) By Legasi ABR Delima Enterprise,10.80,0
Penang Pak Ali’s Honey Mixed Fruit Pickles,3.50,0
"‘Gold Label’ Dried Anchovies From Tawau, Sabah (Borneo)",4.00,0
MAGGI INSTANT NOODLES,6.00,5.00
‘KAKJA CORNER’ Fruit Rojak Sauce,2.00,0
Batik Table Cloth,8.00,0
Batik Table Cloth,8.00,0
Batik Table Cloth,8.00,0
Batik Table Cloth,8.00,0
Authentic Shrimp Chilli Paste (Sambal Terasi),5.00,0
Batik Table Cloth,8.00,0
MAGGI INSTANT NOODLES 500g  (WINTER CARNIVAL),3.00,5.00
MAGGI INSTANT NOODLES 500g  (WINTER CARNIVAL),3.00,5.00
MAGGI INSTANT NOODLES 500g  (WINTER CARNIVAL),3.00,5.00
MAGGI INSTANT NOODLES 500g  (WINTER CARNIVAL),3.00,5.00
‘redz’ Serunding (Floss),5.00,0
‘redz’ Serunding (Floss),5.00,0
‘redz’ Serunding (Floss),5.00,0
‘Bestari’ Crispy Fried Chicken Coating Mix (1kg),4.00,0
‘Bestari’ Crispy Fried Chicken Coating Mix (1kg),4.00,0
‘Bestari’ Crispy Fried Chicken Coating Mix (1kg),4.00,0
‘Enah Food’ Cookiss Brownies Original @ Redvivi,,0
‘redz’ Serunding (Floss),5.00,0
‘Waghih Foods’ Malaysian Bird’s Eye Chilli Curry Paste Nismilan,4.45,0
CMW Chocolate Chip Cookies (180 Grams),3.80,0
Dafesa Beef Flakes (Daging Kering),10.00,0
Fresh Dried Tamarind Slices (Asam Keping) – 500 Grams,6.00,0
Idealiz Semi-Lipmatte Treatment,6.00,0
Idealiz Semi-Lipmatte Treatment,6.00,0
Idealiz Semi-Lipmatte Treatment,6.00,0
Idealiz Semi-Lipmatte Treatment,6.00,0
Faih Cooking Paste (Pes Ibu Sambal),5.00,0
INTAN Perfume For Men And Women,17.87,0
INTAN Perfume For Men And Women,17.87,0
‘Nek Yom Foods’ Extra Spicy Sauce (Sambal Tersedak),8.00,0
Goat2Glow Goat Milk (Mix Flavour Of Banana & Chocolate),10.00,0
‘WAHIDA’ Aromatic Spiced Thick Soy Sauce Paste,5.00,0
Satin Square Scarf,15.00,0
Mallies Chococube - Oat Chocolate Bars,4.50,0
Mallies Chococube - Oat Chocolate Bars,4.50,0
‘Cik Yut’ Spicy Sauce – Ready To Eat (Sambal Penyet),3.50,0
‘Cik Yut’ Sizzling Yee Mee (Noodles) Paste,3.00,0
‘Cik Yut’ Sizzling Yee Mee (Noodles),3.50,0
Mug – On The Way,6.21,0
Tote Bag – Pop Culture Starter Pack,6.21,0
KAPRIMA Fresh UHT Goat Milk,7.00,0
Premium Pineapple Cheese Tart,11.00,0
APOM Apron – Batik,11.61,0
Mug – POP Culture Nasi Lemak,6.25,0
‘ADIA’ Basmathi Rice With Chicken Rendang (Ready-To-Eat),5.00,0
‘ADIA’ Basmathi Rice With Chicken In Red Curry (Ready-To-Eat),5.00,0
‘ADIA’ Basmathi Rice With Beef Rendang (Ready-To- Eat),5.00,0
‘ADIA’  Rich Coconut Rice With Chicken In Red Curry (Ready-To-Eat),5.00,0
‘Z'GHULAM’ Spiced Fried Chicken Flour,2.00,0
‘Z'GHULAM’ Spiced Fried Chicken Flour,2.00,0
‘Z'GHULAM’ Spiced Fried Chicken Flour,2.00,0
‘Dayang Herbs’ Herbal Bath (Lime Leaves & Lemon Grass Fragrance),5.00,0
‘RASS & ROSH’ Extra Virgin Coconut Oil 500ML ,25.00,0
INTAN Perfume For Men And Women,17.87,0
‘CerCuba’ Sauces (3 Choices),4.00,0
‘CerCuba’ Sauces (3 Choices),4.00,0
‘CerCuba’ Sauces (3 Choices),5.00,0
Mallies Chococube – Oat Chocolate Bars,4.50,0
‘JoyMix’ Organic Coconut Sugar 300g,3.00,0
Moringa Tea (30 teabags/pack),4.00,0
‘Z’GHULAM’ Spiced Fried Chicken Flour,2.00,0
‘Cap Ceri’ White Vinegar (Cuka),1.00,0
‘CerCuba’ Sauces (3 Choices),4.00,0
‘SISIK’ COW’S OFFAL – COMBO PACK,10.00,0
KRAVA Steamed Fruit Cake – Regular,18.00,0
Roasted Quail (Puyuh Bakar) Ready-To-Eat,7.50,0
‘Dapoq Surihati’ Spicy Shrimp Paste Sauce,3.50,0
‘The Legend’ Sengkuang Calit (Spicy Sauce),4.00,0
‘BizBite’ Melting Suji (Semolina) Cookies,7.00,0
‘Cap Arnab’ Kopitiam (Coffee Shop) Classic,3.00,0
SUPERFOOD AMINO 9,29.90,0
‘RASA MALAYA’ ButterMilk Chicken,3.00,0
Mix Crunchy Garlic,4.00,0
